NOMINA DE AGENTES RETENEDORES DE CAMBIO DE SUJETO ACTUALIZADA CON INFORMACION DE PUBLICACIONES EN EL DIARIO OFICIAL HASTA EL MES ANTERIOR
 
Cuerpo del RUT;Digito Verificador;Nombre/Razon Social;Producto;Codigo Unidad;Nombre Unidad;Regional;Dependencia de DGC
1456900;6;DUCO DUNOGUIER LUIS LUCIANO;PEQ.PROD.AGRICOLA;05601;SAN FELIPE;5;
1549304;6;PETIT-LAURENT BENARD HECTOR ANDRES;TRIGO;08303;LEBU;8;
2636018;8;SILVA ARCE VICTOR MANUEL;CONTRATISTA;15103;PROVIDENCIA;15;
2808303;3;KOENEKAMP WINKLER CARLOS HEINZ DIETER;GANADO;08201;CONCEPCION;8;
2826227;2;WILLER PUSCHEL LUISA HAIDEE ILSE;GANADO;10201;OSORNO;10;
2873640;1;KUNCAR SILHI JULIO ATALA;GANADO;08201;CONCEPCION;8;
3067528;2;MONTES MONTES RAUL PABLO DEL SAGRADO CORAZON;HARINA;15000;SANTIAGO ORIENTE;15;
3090455;9;NAJLE BUSNAHE CAMILO;HARINA;14109;MAIPU;14;
3130431;8;AGUAYO QUEZADA AGAPITO;CARNE;16000;SANTIAGO SUR;16;
3189057;8;FERNANDEZ VALDES JORGE;GANADO;06101;RANCAGUA;6;
3232501;7;HITSCHFELD BOLLMANN KURT RAUL;GANADO;10201;OSORNO;10;
3250748;4;KAUAK MANSURATI ALEJANDRO;GANADO;10303;PUERTO VARAS;10;
3300852;K;ANDRADE GOMEZ ISMENIA;HARINA;10401;CASTRO;10;
3307207;4;IDE RICHTER ADOLFO ALEJANDRO;GANADO;10201;OSORNO;10;
3450361;3;TALADRIZ BORNAND CARLOS RENE;GANADO;09201;TEMUCO;9;
3717759;8;HAEUSSLER FONTECILLA FRANCISCO JAVIER;GANADO;05401;SAN ANTONIO;5;
3717840;3;HORNUNG CHOROBINSKY GUILLERMO FERNANDO;HARINA;09101;ANGOL;9;
3770945;K;VILLABLANCA VILLAGRAN HECTOR MARIO;GANADO;08101;REGIONAL CHILLAN;21;
4109957;7;MADGE FERRERS CHARLES;GANADO;14109;MAIPU;14;
4115412;8;BECKER ALVAREZ OSCAR ANTONIO;HARINA;10401;CASTRO;10;
4266693;9;FUENTES FUENTES JULIO RAMIRO;GANADO;10101;VALDIVIA;19;
4269099;6;HARLING WELLMANN DIETRICH HEINZ WERNER         ;PEQ.PROD.AGRICOLA;09201;TEMUCO;9;
4429728;0;MONDACA CORVALAN CARLOS SERGIO;GANADO;10101;VALDIVIA;19;
4616831;3;ENGLER BOCK OSCAR RODOLFO;GANADO;10201;OSORNO;10;
4732784;9;CASTRO FUENTES RICARDO;HARINA;06110;SAN VICENTE TAGUA TAGUA;6;
4765682;6;GONZALEZ COFRE SERGIO;GANADO;10101;VALDIVIA;19;
4795330;8;VICENCIO VICENCIO GUILLERMO ALBERTO;CARNE;03101;CHANARAL;3;
4797984;6;VALDES BRAVO CARLOS CUSTODIO;MADERA;07208;CONSTITUCION;7;
4797984;6;VALDES BRAVO CARLOS CUSTODIO;PEQ.PROD.AGRICOLA;07208;CONSTITUCION;7;
4863081;2;VIDAL VIDAL LUIS ALBERTO;CARNE;10401;CASTRO;10;
4874755;8;ROSSLER PARADA SERGIO CARLOS;GANADO;08101;REGIONAL CHILLAN;21;
4919679;2;MONTINO CARRASCO CARLOS DARIO;CONTRATISTA;08201;CONCEPCION;8;
4993154;9;CALDERON SEVERINO PEDRO FRANCISCO;CARNE;05303;VILLA ALEMANA;5;
5023079;1;RIQUELME CONTESSE GUSTAVO HUMBERTO;GANADO;16000;SANTIAGO SUR;16;
5067214;K;RAVANAL ARAVENA RODRIGO ANTONIO;CONTRATISTA;08201;CONCEPCION;8;
5159949;7;BENAVIDES VERGARA CLAUDIO LUIS;GANADO;10303;PUERTO VARAS;10;
5300882;8;QUILODRAN SALINAS PEDRO LEONIDAS;PEQ.PROD.AGRICOLA;09201;TEMUCO;9;
5338782;9;RIQUELME RODRIGUEZ JULIO RODOLFO;CONTRATISTA;08401;LOS ANGELES;8;
5427561;7;MELO ARENS ADOLFO KILIAN;GANADO;10101;VALDIVIA;19;
5521638;K;TORO ECHEVERRIA NICOLAS;CARNE;06110;SAN VICENTE TAGUA TAGUA;6;
5736101;8;NEUMANN SCHEEL ALBERTO ERICO;GANADO;10303;PUERTO VARAS;10;
5772068;9;SOTO CRISOSTO LUIS GERARDO;GANADO;09201;TEMUCO;9;
5791354;1;ARREDONDO ARAVENA CARLOS HORACIO;PROD. SILVESTRES;06101;RANCAGUA;6;
5793346;1;QUEZADA MUNOZ HUMBERTO EDUARDO;GANADO;06101;RANCAGUA;6;
5830875;7;FREDES AGUILERA CILDA AURORA;CARNE;04201;OVALLE;4;
5854831;6;CORDERO CUEVAS JAIME FERNANDO PANCRACIO;MADERA;09201;TEMUCO;9;
5897630;K;CORVALAN CORREA RENE OCTAVIO;CONTRATISTA;06101;RANCAGUA;6;
5906181;K;SCHIFFERLI ROMERO FERNANDO ALFREDO;GANADO;09201;TEMUCO;9;
5957758;1;QUEVEDO ROJAS DANIEL HERNAN;CONTRATISTA;15105;NUNOA;13;
6021391;7;CONTRERAS JORQUERA JAIME ORLANDO;ESP. HIDROBIOLOS;14000;SANTIAGO PONIENTE;14;
6038975;6;GUARDA YANTANI PABLA ORIANA;GANADO;10201;OSORNO;10;
6101698;8;RODRIGUEZ DIDIER JOSE ALBERTO;GANADO;11401;COYHAIQUE;11;
6107541;0;HEVIA HOTT ERWIN;GANADO;10201;OSORNO;10;
6111021;6;ALBORNOZ TOLOZA VICENTE JAVIER;HARINA;07201;TALCA;7;
6165961;7;MORDOJOVICH SOTO JAIME ENRIQUE;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
6186739;2;HOTT GLAVES ADOLFO;PEQ.PROD.AGRICOLA;10109;LA UNION;19;
6197166;1;LAVIN UGARTE CLAUDIO EUGENIO;CONTRATISTA;15105;NUNOA;13;
6239185;5;BAY-SCHMITH BUNSTER PEDRO;PEQ.PROD.AGRICOLA;09201;TEMUCO;9;
6251265;2;VALENZUELA SOTO HELMUD LORENZO;HARINA;09101;ANGOL;9;
6299234;4;MEYER NUSSER ALFREDO RICARDO;GANADO;10201;OSORNO;10;
6316066;0;MEYER ANWANDTER GERMAN EDUARDO;GANADO;10201;OSORNO;10;
6366246;1;VERNAL ORMAZABAL RAUL ALEJANDRO;CONTRATISTA;11401;COYHAIQUE;11;
6422691;6;CARRASCO CARRASCO LUIS ARMANDO;GANADO;08101;REGIONAL CHILLAN;21;
6477388;7;FLORES LARA MISAEL ANANIAS;CONTRATISTA;08201;CONCEPCION;8;
6509268;9;GUZMAN MUNOZ BENJAMIN ALFREDO;HARINA;07305;PARRAL;7;
6509268;9;GUZMAN MUNOZ BENJAMIN ALFREDO;PEQ.PROD.AGRICOLA;07305;PARRAL;7;
6576023;1;PIZARRO GUERRERO HECTOR DE LA CRUZ;ESP. HIDROBIOLOS;03301;VALLENAR;3;
6633267;5;MUNOZ LOPEZ VIRGINIA ISABEL;BERRIES;15103;PROVIDENCIA;15;
6717813;0;TAMPE KRETSCHMAR HERIBERTO DANIEL;GANADO;10303;PUERTO VARAS;10;
6736178;4;BELTRAN ARANEDA JULIO;GANADO;08401;LOS ANGELES;8;
6743346;7;HOLMGREN DEL PINO HUGO ALFREDO;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;06201;SAN FERNANDO;6;
6745501;0;PARIS AVALOS MARIA TEREZINA DEL ROSARIO;CONTRATISTA;04103;COQUIMBO;4;
6836432;9;MOHR AMTHAUER OSVALDO RODOLFO FEDERICO;GANADO;10201;OSORNO;10;
6883419;8;MALDONADO SILVA PATRICIA MABEL;HARINA;09201;TEMUCO;9;
6931611;5;MOROZIN BAJCIC MARIO OTTO;ESP. HIDROBIOLOS;05302;VINA DEL MAR;5;
6984817;6;ARIZTIA REYES ISABEL;GANADO;13000;SANTIAGO CENTRO;13;
7058418;2;COVARRUBIAS ROJAS SALVADOR RAUL;HARINA;05501;QUILLOTA;5;
7083318;2;MORSTADT ANWANDTER JUAN CARLOS;GANADO;09201;TEMUCO;9;
7359930;K;VILLARROEL HEINZ OSCAR JOSE;HARINA;10406;ANCUD;10;
7726121;4;FUENTEALBA SANCHEZ HUGO ORLANDO;HARINA;10201;OSORNO;10;
7744650;8;SUAREZ VILLAR NOLBERTO ORLANDO;CHATARRA;14000;SANTIAGO PONIENTE;14;
7777625;7;VERGARA HOLTSHAMP JUAN EDUARDO;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
7802313;9;BONOMETTI SILVA ANITA CECILIA;GANADO;10201;OSORNO;10;
7842569;5;URTUBIA BUSTAMANTE LUIS FERMIN;CHATARRA;20000;SANTIAGO NORTE;20;
7958504;1;CAYO OLMOS HERNAN DOUGLAS;HARINA;01101;ARICA;18;
7961289;8;PUCHI ACU&#xD1;A JUAN CARLOS;GANADO;11401;COYHAIQUE;11;
8145805;7;PIZARRO BRANTE JUAN CARLOS;HARINA;03201;COPIAPO;3;
8271734;K;KLEIN BRINTRUP EDUARDO AUGUSTO;GANADO;10301;PUERTO MONTT;10;
8486706;3;AVENDANO BARRIENTOS CARLOS MARCOS;HARINA;10401;CASTRO;10;
8495160;9;MONSALVE GUARDA HERNAN ALEJANDRO;GANADO;10201;OSORNO;10;
8561235;2;LOAYZA DIAZ GUILLERMO LEONARDO;CONTRATISTA;04101;LA SERENA;4;
8600792;4;BARRA JHONSON MANUEL JESUS;LEGUMBRE;07301;LINARES;7;
8613573;6;VERA OYARZUN HERALDO ELIECER;ESP. HIDROBIOLOS;12205;PUNTA ARENAS;12;
8636234;1;ROJAS ALUCEMA HERMAN ALBERTO;HARINA;04201;OVALLE;4;
8639020;5;PEREZ CRUZ JOSE TOMAS;GANADO;16403;BUIN;16;
8646346;6;AVENDANO  ZOILO;HARINA;10401;CASTRO;10;
8667440;8;CARMONA ESPINOSA CLAUDIO ALBERTO;CONTRATISTA;14000;SANTIAGO PONIENTE;14;
8704296;0;BASCUNAN FUENTEALBA PEDRO BELISARIO;GANADO;10101;VALDIVIA;19;
8746153;K;CARO PALAVICINO FRANCISCO JOSE LUIS;CARNE;08101;REGIONAL CHILLAN;21;
8770039;9;VASQUEZ LOPEZ HERNAN ENRIQUE;CHATARRA;20000;SANTIAGO NORTE;20;
8780795;9;JORQUERA DURAN PEDRO ANTONIO;CONTRATISTA;05303;VILLA ALEMANA;5;
9016604;2;SALDIVIA REMOLCOY RODRIGO IVAN;CARNE;10401;CASTRO;10;
9167304;5;FALK SALAZAR GERARDO HERNAN;CONTRATISTA;05301;VALPARAISO;5;
9180081;0;QUEZADA CARRASCO MAXIMO ENRIQUE;CARNE;08401;LOS ANGELES;8;
9247858;0;SILVA CARVAJAL HECTOR FRANCISCO;HARINA;16000;SANTIAGO SUR;16;
9574177;0;VERGARA SILVA MANUEL ANTONIO;CONTRATISTA;16300;LA FLORIDA;16;
9669390;7;AGUAYO GARRIDO NAZARENO ANTONIO;CARNE;16000;SANTIAGO SUR;16;
9693224;3;GODOY TAPIA MANUEL BRAULIO;CONTRATISTA;01101;ARICA;18;
9779598;3;MIGRYK PONCE SEBASTIAN EDUARDO;CONTRATISTA;08101;REGIONAL CHILLAN;21;
9786248;6;VARGAS MATUS VICTORIA LEONOR;CHATARRA;14000;SANTIAGO PONIENTE;14;
9862768;5;PONCE FLORES DAMARIS LUZ;HARINA;09109;VICTORIA;9;
9894531;8;LARA VERGARA PATRICIA XIMENA;LEGUMBRE;07301;LINARES;7;
10024618;K;OJEDA GOMEZ DELFIN SEGUNDO;CARNE;10201;OSORNO;10;
10449231;2;ROJAS BARRIA CLAUDIO ALBERTO;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;16000;SANTIAGO SUR;16;
10977930;K;CACERES FIGUEROA HERNAN MARIANO;HARINA;03101;CHANARAL;3;
11734961;6;GALARCE TORRES VIVIANA MAGDALENA;HARINA;05303;VILLA ALEMANA;5;
12739134;3;FARIAS TORO HUGO ALEXANDER;GANADO;08401;LOS ANGELES;8;
13531930;9;GAJARDO GONZALEZ HUMBERTO ANTONIO;HARINA;03301;VALLENAR;3;
14199427;1;DIAZ GARCIA CARLOS ROBERTO;CARNE;13000;SANTIAGO CENTRO;13;
14263505;4;SOLIS SAN MARTIN MARIA GABRIELA;PEQ.PROD.AGRICOLA;08101;REGIONAL CHILLAN;21;
14547804;9;MUNOZ GUAJARDO MANUEL ESTEBAN;MADERA;07208;CONSTITUCION;7;
15944575;5;BASCUNAN PEREZ STEPHANIE MASIEL;CARNE;07301;LINARES;7;
17571749;8;BASCUNAN PEREZ YARESSLA DEL CARMEN;CARNE;07301;LINARES;7;
50238200;4;SOC AGRICOLA Y FORESTAL POZO Y REYES LIMITADA;MADERA;08401;LOS ANGELES;8;
50328410;3;BRAHM VILLEGAS MARIA ALBA CORINA Y OTRO;HARINA;10301;PUERTO MONTT;10;
53196090;4;COMUNIDAD FUNDO LAS ENCINAS PURRANQUE;GANADO;13000;SANTIAGO CENTRO;13;
53239060;5;SUC LEOPOLDO DEL PRADO DE LA VEGA;GANADO;10103;LANCO;19;
70319000;6;COOP CAMPESINA SAN DIONISIO LTDA;TRIGO;07301;LINARES;7;
71965900;4;COOP CAMPESINA BUSCANDO DESARROLLO LIMITADA;TRIGO;07305;PARRAL;7;
72536200;5;COOP CAMPESINA ESMERALDA LOS CASTANOS LIMITADA;PEQ.PROD.AGRICOLA;10201;OSORNO;10;
73784200;2;ASOC INDIGENA ACHKINTWE;PEQ.PROD.AGRICOLA;10108;PANGUIPULLI;19;
74920600;4;COOP CAMPESINA LLOLLINCO LIMITADA;PEQ.PROD.AGRICOLA;09201;TEMUCO;9;
75414000;3;COOPERATIVA CAMPESINA DE APICULTORES Y AGRICULTORES DE LINARES;BERRIES;07301;LINARES;7;
77006720;0;COMERCIAL E INMOBILIARIA J Y A LIMITADA;HARINA;05302;VINA DEL MAR;5;
77034300;3;AGRICOLA IBATAO LIMITADA;GANADO;05401;SAN ANTONIO;5;
77035820;5;PROYECTOS Y CONSTRUCCIONES ELECTRICAS LIMITADA;CONTRATISTA;16300;LA FLORIDA;16;
77037220;8;AKROS SERVICIOS DE INGENIERIA LIMITADA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
77085100;9;INVERSIONES BLOODHORSE S A;GANADO;15000;SANTIAGO ORIENTE;15;
77097910;2;VEGA E IGLESIAS LIMITADA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
77107300;K;GONZALO MERCADAL Y COMPANIA LIMITADA;CONTRATISTA;05302;VINA DEL MAR;5;
77126600;2;INVERSIONES CAMINO DEL CHIN LIMITADA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
77128740;9;CONSTRUCTORA M I P LIMITADA;CONTRATISTA;15103;PROVIDENCIA;15;
77157600;1;FORESTAL SANTA LAURA LIMITADA;MADERA;09201;TEMUCO;9;
77186060;5;CIA AGROINDUSTRIAL LONGAVI LIMITADA;LEGUMBRE;07301;LINARES;7;
77187190;9;IMPORTADORA CHILE PACIFIC LIMITADA;HARINA;09201;TEMUCO;9;
77192210;4;KODAMA CONSTRUCCIONES LIMITADA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
77200640;3;DEMODULARI EXPOSICIONES Y ARQUITECTURA SPA EN PROCEDIMIENTO CONCURSAL DE LIQUIDAC;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
77205230;8;COOP CAMPESINA LA ESPERANZA CAMPESINA LIMITADA;PEQ.PROD.AGRICOLA;10109;LA UNION;19;
77210340;9;PROVEEDOR DE CARNES LIMITADA;GANADO;16000;SANTIAGO SUR;16;
77213980;2;CONSTRUCTORA RAUL PIZARRO SPA;CONTRATISTA;10201;OSORNO;10;
77220990;8;CONSTRUCTORA PUERTO GRANDE LIMITADA;CONTRATISTA;13000;SANTIAGO CENTRO;13;
77227180;8;ESTRUCTURAS METALICAS LASAM LIMITADA;CONTRATISTA;20000;SANTIAGO NORTE;20;
77235870;9;SIMELCO INGENIERIA LIMITADA;CONTRATISTA;13000;SANTIAGO CENTRO;13;
77295510;3;AGROHUEMUL AGROMAIPO Y OTROS LIMITADA;PEQ.PROD.AGRICOLA;08101;REGIONAL CHILLAN;21;
77295580;4;SOC LATSAGUE SAAVEDRA LIMITADA;MADERA;08201;CONCEPCION;8;
77302360;3;BOSQUES VILLANUEVA LIMITADA;MADERA;15103;PROVIDENCIA;15;
77311360;2;AGROSONDA MONTAJES LTDA;CONTRATISTA;20000;SANTIAGO NORTE;20;
77335750;1;SUPERMERCADO MAYORISTA LA FAMA SANTA CRUZ SOCIEDAD ANONIMA;HARINA;06205;SANTA CRUZ;6;
77341720;2;J P M EXPORTACIONES LIMITADA;PEQ.PROD.AGRICOLA;16403;BUIN;16;
77354930;3;INVERSIONES Y DESARROLLOS INMOBILIARIOS COVARRUBIAS S.A.;HARINA;05501;QUILLOTA;5;
77385830;6;PCS TEL SPA;CONTRATISTA;15105;NUNOA;13;
77393620;K;SOC AGRICOLA Y LECHERA ENTRE RIOS DE FOLILCO LIMITADA;PEQ.PROD.AGRICOLA;10109;LA UNION;19;
77407210;1;CONSTRUCCIONES ERICES Y TORO LIMITADA;CONTRATISTA;04101;LA SERENA;4;
77411730;K;INGENIERIA Y CONSTRUCCIONES M Y T LIMITADA;CONTRATISTA;08201;CONCEPCION;8;
77418580;1;MANTOS COPPER  S.A.;RETENEDOR C.S. PARA CUMPLIMIENTO DE IVA;02201;ANTOFAGASTA;2;
77433960;4;CORRETAJES LABBE CORDILLERA SPA;GANADO;10201;OSORNO;10;
77446720;3;SUPERMERCADOS PAVEZ LIMITADA;HARINA;06301;PICHILEMU;6;
77446910;9;ALIMENTOS SAN PABLO LIMITADA;HARINA;10201;OSORNO;10;
77459030;7;AGRICOLA BAHIA RINCONES LIMITADA;GANADO;10303;PUERTO VARAS;10;
77460470;7;SOC COMERCIAL BIGGER VICTORIA LTDA;HARINA;10201;OSORNO;10;
77473270;5;SOC HNOS URQUIOLA UBAL Y CIA LIMITADA;HARINA;16000;SANTIAGO SUR;16;
77476390;2;PROCESADORA DE ALIMENTOS DEL SUR LIMITADA;CARNE;06101;RANCAGUA;6;SI
77479080;2;PESQUERA REYMAR SPA;ESP. HIDROBIOLOS;12101;PUERTO NATALES;12;
77491610;5;LACTEOS LOS ULMOS S A;PEQ.PROD.AGRICOLA;16000;SANTIAGO SUR;16;
77532980;7;CONSTRUCTORA SOCOVALLE LIMITADA;CONTRATISTA;15000;SANTIAGO ORIENTE;15;
